Rank,Model,Sales,Model_short,Cumulative,Cumulative_pct,Maker
1,Model Y (Tesla),15328,Model,15328,13.462619449128724,Tesla
2,星愿 (Xingyuan),9016,星愿,24344,21.3813940415964,Unknown
3,Model 3 (Tesla),8644,Model,32988,28.97344013490725,Tesla
4,小米 YU7 (Xiaomi),7299,小米,40287,35.3841694772344,Xiaomi
5,海狮06 (Haishi06),6244,海狮06,46531,40.86828976953345,BYD
6,元UP (Yuan UP),5948,元UP,52479,46.09243254637437,BYD
7,小米 SU7 (Xiaomi),5666,小米,58145,51.0688940415964,Xiaomi
8,海豚 (Haitun / Dolphin),4988,海豚,63133,55.449866498032605,BYD
9,海豹06 (Haibao06),4890,海豹06,68023,59.74476531759415,BYD
10,宝马3系 (BMW 3 Series),4837,宝马3系,72860,63.993114109050026,BMW
11,途观L (Tiguan L),4799,途观L,77659,68.20808740865655,Volkswagen
12,问界M8 (Wenjie M8),4775,问界M8,82434,72.40198145025295,Other
13,小鹏 MONA M03 (Xpeng),4357,小鹏,86791,76.22874508150646,Xpeng
14,凯美瑞 (Camry),4102,凯美瑞,90893,79.83154159640247,Toyota
15,秦L (Qin L),3999,秦L,94892,83.3438729623384,BYD
16,奔驰 C级 (Mercedes C-Class),3946,奔驰,98838,86.80965430016863,Mercedes
17,秦PLUS 新能源 (Qin PLUS NEV),3936,秦PLUS,102774,90.26665261382799,BYD
18,海鸥 (Seagull),3863,海鸥,106637,93.65953485103991,BYD
19,宏光 MINI EV (Hongguang MINI EV),3611,宏光,110248,96.83108487914559,Wuling
20,零跑 B01 (Leapmotor B01),3608,零跑,113856,100.0,Leapmotor
